flight_identification_id,flight_identification_row,flight_identification_number_default,flight_identification_number_alternative,flight_identification_callsign,flight_identification_codeshare,flight_status_live,flight_status_text,flight_status_icon,flight_status_estimated,flight_status_ambiguous,flight_status_generic_status_text,flight_status_generic_status_type,flight_status_generic_status_color,flight_status_generic_status_diverted,flight_status_generic_eventTime_utc,flight_status_generic_eventTime_local,flight_aircraft_model_code,flight_aircraft_model_text,flight_aircraft_hex,flight_aircraft_registration,flight_aircraft_serialNo,flight_aircraft_images,flight_owner,flight_airline_name,flight_airline_code_iata,flight_airline_code_icao,flight_airline_short,flight_airport_origin_timezone_name,flight_airport_origin_timezone_offset,flight_airport_origin_timezone_abbr,flight_airport_origin_timezone_abbrName,flight_airport_origin_timezone_isDst,flight_airport_origin_info_terminal,flight_airport_origin_info_baggage,flight_airport_origin_info_gate,flight_airport_destination_code_iata,flight_airport_destination_code_icao,flight_airport_destination_timezone_name,flight_airport_destination_timezone_offset,flight_airport_destination_timezone_abbr,flight_airport_destination_timezone_abbrName,flight_airport_destination_timezone_isDst,flight_airport_destination_info_terminal,flight_airport_destination_info_baggage,flight_airport_destination_info_gate,flight_airport_destination_name,flight_airport_destination_position_latitude,flight_airport_destination_position_longitude,flight_airport_destination_position_country_name,flight_airport_destination_position_country_code,flight_airport_destination_position_country_id,flight_airport_destination_position_region_city,flight_airport_destination_visible,flight_airport_real,flight_time_scheduled_departure,flight_time_scheduled_arrival,flight_time_real_departure,flight_time_real_arrival,flight_time_estimated_departure,flight_time_estimated_arrival,flight_time_other_eta,flight_time_other_duration,flight_aircraft_country_id,flight_aircraft_country_name,flight_aircraft_country_alpha2,flight_aircraft_country_alpha3,flight_aircraft_restricted,flight_aircraft_age_availability,flight_aircraft_availability_serialNo,flight_aircraft_availability_age,flight_owner_name,flight_owner_code_iata,flight_owner_code_icao,flight_owner_logo
,5486985145,OD806,,,,FALSE,Estimated dep 21:30,green,,FALSE,estimated,departure,green,,1711719000,1711747800,738,,,,,,,Batik Air Malaysia,OD,MXD,Batik Air Malaysia,Asia/Singapore,28800,+08,,FALSE,3,,B6,KUL,WMKK,Asia/Kuala_Lumpur,28800,+08,,FALSE,1,,,Kuala Lumpur International Airport,2.745578,101.7099,Malaysia,MY,133,Kuala Lumpur,TRUE,,1711719000,1711722900,,,1711719000,,,,,,,,,,,,,,,
348e4738,5487213098,SQ856,,SIA856,,TRUE,Estimated dep 21:29,green,,FALSE,estimated,departure,green,,1711718940,1711747740,B38M,Boeing 737 MAX 8,76B449,9V-MBI,,,,Singapore Airlines,SQ,SIA,Singapore Airlines,Asia/Singapore,28800,+08,,FALSE,3,,B8,SZX,ZGSZ,Asia/Shanghai,28800,CST,China Standard Time,FALSE,,,,Shenzhen Bao'an International Airport,22.638775,113.803993,China,CN,46,Shenzhen,TRUE,,1711719000,1711734000,,,1711718940,,,,199,Singapore,SG,SGP,FALSE,TRUE,TRUE,TRUE,Singapore Airlines,SQ,SIA,https://images.flightradar24.com/assets/airlines/logotypes/32.png
,5489472483,YG9136,,,,FALSE,Scheduled,,,FALSE,scheduled,departure,gray,,,,75F,,,,,,,YTO Cargo Airlines,YG,HYT,YTO Cargo Airlines,Asia/Singapore,28800,+08,,FALSE,,,,PVG,ZSPD,Asia/Shanghai,28800,CST,China Standard Time,FALSE,,,,Shanghai Pudong International Airport,31.14337,121.805199,China,CN,46,Shanghai,TRUE,,1711719000,1711736100,,,,,,,,,,,,,,,,,,
348e4aaa,5487212444,SQ235,,SIA235,,TRUE,Estimated dep 21:34,green,,FALSE,estimated,departure,green,,1711719240,1711748040,A359,Airbus A350-941,76CD0D,9V-SHM,,,,Singapore Airlines,SQ,SIA,Singapore Airlines,Asia/Singapore,28800,+08,,FALSE,3,,A1,BNE,YBBN,Australia/Brisbane,36000,AEST,Australian Eastern Standard Time,FALSE,I,,,Brisbane Airport,-27.388636,153.126251,Australia,AU,14,Brisbane,TRUE,,1711719300,1711746900,,,1711719240,,,,199,Singapore,SG,SGP,FALSE,TRUE,TRUE,TRUE,Singapore Airlines,SQ,SIA,https://images.flightradar24.com/assets/airlines/logotypes/32.png
,5487038776,TR564,,,,FALSE,Estimated dep 21:40,green,,FALSE,estimated,departure,green,,1711719600,1711748400,320,,,,,,,Scoot,TR,TGW,Scoot,Asia/Singapore,28800,+08,,FALSE,1,,C11,TRZ,VOTR,Asia/Kolkata,19800,IST,India Standard Time,FALSE,,,,Tiruchirappalli International Airport,10.76536,78.709717,India,IN,102,Tiruchirapalli,TRUE,,1711719600,1711734900,,,1711719600,,,,,,,,,,,,,,,
,5487180303,IX687,,,,FALSE,Estimated dep 23:20,red,,FALSE,estimated,departure,red,,1711725600,1711754400,B738,Boeing 737-8HG,8003B0,VT-AXJ,,,,Air India Express (Red Fort-Gwalior Fort Livery),IX,AXB,Air India Express,Asia/Singapore,28800,+08,,FALSE,2,,F35,MAA,VOMM,Asia/Kolkata,19800,IST,India Standard Time,FALSE,3,,,Chennai International Airport,12.99441,80.180511,India,IN,102,Chennai,TRUE,,1711719900,1711735800,,,1711725600,,,,102,India,IN,IND,FALSE,TRUE,TRUE,TRUE,Air India Express,IX,AXB,https://images.flightradar24.com/assets/airlines/logotypes/449.png
,5487211780,SL105,,,,FALSE,Scheduled,,,FALSE,scheduled,departure,gray,,,,738,,,,,,,Thai Lion Air,SL,TLM,Thai Lion Air,Asia/Singapore,28800,+08,,FALSE,3,,A6,DMK,VTBD,Asia/Bangkok,25200,+07,,FALSE,1,1,,Bangkok Don Mueang International Airport,13.9125,100.606697,Thailand,TH,221,Bangkok,TRUE,,1711719900,1711728900,,,,,,,,,,,,,,,,,,
,5487212393,SQ227,,SIA227,,FALSE,Estimated dep 21:50,green,,FALSE,estimated,departure,green,,1711720200,1711749000,A359,Airbus A350-941,76CDAA,9V-SMJ,,,,Singapore Airlines,SQ,SIA,Singapore Airlines,Asia/Singapore,28800,+08,,FALSE,3,,B4,MEL,YMML,Australia/Melbourne,39600,AEDT,Australian Eastern Daylight Time,TRUE,2,,20,Melbourne Airport,-37.665794,144.837296,Australia,AU,14,Melbourne,TRUE,,1711720200,1711746900,,,1711720200,,,,199,Singapore,SG,SGP,FALSE,TRUE,TRUE,TRUE,Singapore Airlines,SQ,SIA,https://images.flightradar24.com/assets/airlines/logotypes/32.png
,5487208531,QZ269,,,,FALSE,Estimated dep 21:55,green,,FALSE,estimated,departure,green,,1711720500,1711749300,A320,Airbus A320-216,8A036B,PK-AXY,,,,AirAsia,AK,AXM,AirAsia,Asia/Singapore,28800,+08,,FALSE,4,,G15,CGK,WIII,Asia/Jakarta,25200,WIB,Western Indonesian Time,FALSE,2,,,Jakarta Soekarno Hatta International Airport,-6.12556,106.6558,Indonesia,"ID",103,Jakarta,TRUE,,1711720500,1711727100,,,1711720500,,,,103,Indonesia,"ID",IDN,FALSE,TRUE,TRUE,TRUE,Indonesia AirAsia,QZ,AWQ,https://images.flightradar24.com/assets/airlines/logotypes/380.png
,5486850576,9C8550,,,,FALSE,Estimated dep 22:02,green,,FALSE,estimated,departure,green,,1711720920,1711749720,320,,,,,,,Spring Airlines,9C,CQH,Spring Airlines,Asia/Singapore,28800,+08,,FALSE,4,,G10,PVG,ZSPD,Asia/Shanghai,28800,CST,China Standard Time,FALSE,2,24,,Shanghai Pudong International Airport,31.14337,121.805199,China,CN,46,Shanghai,TRUE,,1711720800,1711740600,,,1711720920,,,,,,,,,,,,,,,
