sortTime,departureTime_timeAMPM,departureTime_time24,arrivalTime_timeAMPM,arrivalTime_time24,carrier_fs,carrier_name,carrier_flightNumber,operatedBy,url,airport_fs,airport_city,isCodeshare
2024-03-27T10:45:00.000Z,2:10PM,14:10,3:25PM,15:25,IN*,Nam Air,291,,/flight-tracker/IN*/291?year=2024&amp;month=3&amp;date=28&amp;flightId=1242877555,PKN,Pangkalanbun,
2024-03-27T14:05:00.000Z,7:40PM,19:40,9:05PM,21:05,CTV,Citilink,723,,/flight-tracker/CTV/723?year=2024&amp;month=3&amp;date=27&amp;flightId=1242899013,SUB,Surabaya,
2024-03-27T23:05:00.000Z,5:00AM,05:00,6:05AM,06:05,CTV,Citilink,985,,/flight-tracker/CTV/985?year=2024&amp;month=3&amp;date=28&amp;flightId=1243053758,PLM,Palembang,
2024-03-27T23:55:00.000Z,5:30AM,05:30,6:55AM,06:55,CTV,Citilink,711,,/flight-tracker/CTV/711?year=2024&amp;month=3&amp;date=28&amp;flightId=1243053586,SUB,Surabaya,
2024-03-28T00:05:00.000Z,6:00AM,06:00,7:05AM,07:05,CTV,Citilink,763,,/flight-tracker/CTV/763?year=2024&amp;month=3&amp;date=28&amp;flightId=1243053632,SOC,Surakarta,
2024-03-28T01:55:00.000Z,7:50AM,07:50,8:55AM,08:55,CTV,Citilink,971,,/flight-tracker/CTV/971?year=2024&amp;month=3&amp;date=28&amp;flightId=1243053760,PGK,Pangkal Pinang,
2024-03-28T03:00:00.000Z,8:15AM,08:15,10:00AM,10:00,CTV,Citilink,213,,/flight-tracker/CTV/213?year=2024&amp;month=3&amp;date=28&amp;flightId=1243053507,UPG,Ujung Pandang,
2024-03-28T03:05:00.000Z,8:25AM,08:25,10:05AM,10:05,SJV,Super Air Jet,857,,/flight-tracker/SJV/857?year=2024&amp;month=3&amp;date=28&amp;flightId=1243032007,BTH,Batam,
2024-03-28T04:10:00.000Z,8:50AM,08:50,11:10AM,11:10,CTV,Citilink,913,,/flight-tracker/CTV/913?year=2024&amp;month=3&amp;date=28&amp;flightId=1243053692,KNO,Kuala Namu,
2024-03-28T04:20:00.000Z,10:35AM,10:35,11:20AM,11:20,CTV,Citilink,481,,/flight-tracker/CTV/481?year=2024&amp;month=3&amp;date=28&amp;flightId=1243053590,BDJ,Banjarmasin,
2024-03-28T04:50:00.000Z,10:30AM,10:30,12:50PM,12:50,JT*,Lion Air,211,,/flight-tracker/JT*/211?year=2024&amp;month=3&amp;date=28&amp;flightId=1243034626,KNO,Kuala Namu,
2024-03-28T04:55:00.000Z,8:50AM,08:50,11:55AM,11:55,ID*,Batik Air,6181,,/flight-tracker/ID*/6181?year=2024&amp;month=3&amp;date=28&amp;flightId=1243031206,DJJ,Jayapura,
2024-03-28T05:00:00.000Z,10:35AM,10:35,12:00PM,12:00,QZ,Indonesia AirAsia,223,,/flight-tracker/QZ/223?year=2024&amp;month=3&amp;date=28&amp;flightId=1243054961,PEN,Penang,
2024-03-28T05:00:00.000Z,10:20AM,10:20,12:00PM,12:00,CTV,Citilink,703,,/flight-tracker/CTV/703?year=2024&amp;month=3&amp;date=28&amp;flightId=1243053565,BWX,Banyuwangi,
2024-03-28T05:00:00.000Z,11:15AM,11:15,12:40PM,12:40,JT*,Lion Air,713,,/flight-tracker/JT*/713?year=2024&amp;month=3&amp;date=28&amp;flightId=1243034798,PNK,Pontianak,
2024-03-28T05:00:00.000Z,11:10AM,11:10,12:00PM,12:00,JT*,Lion Air,171,,/flight-tracker/JT*/171?year=2024&amp;month=3&amp;date=28&amp;flightId=1243034597,TKG,Bandar Lampung,
2024-03-28T05:05:00.000Z,11:15AM,11:15,12:05PM,12:05,SJV,Super Air Jet,741,,/flight-tracker/SJV/741?year=2024&amp;month=3&amp;date=28&amp;flightId=1243031947,DPS,Denpasar,
2024-03-28T05:05:00.000Z,10:40AM,10:40,12:05PM,12:05,CTV,Citilink,715,,/flight-tracker/CTV/715?year=2024&amp;month=3&amp;date=28&amp;flightId=1243053651,SUB,Surabaya,
2024-03-28T05:05:00.000Z,10:45AM,10:45,12:05PM,12:05,GA,Garuda Indonesia,225,,/flight-tracker/GA/225?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026433,SOC,Surakarta,
2024-03-28T05:05:00.000Z,10:45AM,10:45,12:05PM,12:05,EK,Emirates,7261,Operated by Garuda Indonesia 225,/flight-tracker/EK/7261?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026433,SOC,Surakarta,TRUE
2024-03-28T05:05:00.000Z,10:45AM,10:45,12:05PM,12:05,EY,Etihad Airways,8175,Operated by Garuda Indonesia 225,/flight-tracker/EY/8175?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026433,SOC,Surakarta,TRUE
2024-03-28T05:05:00.000Z,10:45AM,10:45,12:05PM,12:05,MH,Malaysia Airlines,5911,Operated by Garuda Indonesia 225,/flight-tracker/MH/5911?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026433,SOC,Surakarta,TRUE
2024-03-28T05:05:00.000Z,10:45AM,10:45,12:05PM,12:05,JT*,Lion Air,809,,/flight-tracker/JT*/809?year=2024&amp;month=3&amp;date=28&amp;flightId=1243034866,DJB,Jambi,
2024-03-28T05:05:00.000Z,10:50AM,10:50,12:05PM,12:05,JT*,Lion Air,639,,/flight-tracker/JT*/639?year=2024&amp;month=3&amp;date=28&amp;flightId=1243034737,BKS,Bengkulu,
2024-03-28T05:10:00.000Z,11:10AM,11:10,12:10PM,12:10,CTV,Citilink,641,,/flight-tracker/CTV/641?year=2024&amp;month=3&amp;date=28&amp;flightId=1243053600,LOP,Praya,
2024-03-28T05:15:00.000Z,10:50AM,10:50,12:15PM,12:15,CTV,Citilink,333,,/flight-tracker/CTV/333?year=2024&amp;month=3&amp;date=28&amp;flightId=1243053508,UPG,Ujung Pandang,
2024-03-28T05:15:00.000Z,11:15AM,11:15,12:15PM,12:15,GA,Garuda Indonesia,431,,/flight-tracker/GA/431?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026455,LOP,Praya,
2024-03-28T05:15:00.000Z,10:40AM,10:40,12:15PM,12:15,6D,Pelita Air Service,211,,/flight-tracker/6D/211?year=2024&amp;month=3&amp;date=28&amp;flightId=1243031655,SUB,Surabaya,
2024-03-28T05:20:00.000Z,10:00AM,10:00,12:20PM,12:20,SJV,Super Air Jet,941,,/flight-tracker/SJV/941?year=2024&amp;month=3&amp;date=28&amp;flightId=1243032019,KNO,Kuala Namu,
2024-03-28T05:20:00.000Z,10:10AM,10:10,12:20PM,12:20,SJV,Super Air Jet,957,,/flight-tracker/SJV/957?year=2024&amp;month=3&amp;date=28&amp;flightId=1243032055,DTB,Siborong-Borong,
2024-03-28T05:20:00.000Z,10:10AM,10:10,12:20PM,12:20,QZ,Indonesia AirAsia,725,,/flight-tracker/QZ/725?year=2024&amp;month=3&amp;date=28&amp;flightId=1243055033,DTB,Siborong-Borong,
